:mode=ask
:IOAccess,Application,Topic,AdviseActive,DDEProtocol,SecApplication,SecTopic,SecAdviseActive,SecDDEProtocol,FailoverExpression,FailoverDeadband,DFOFlag,FBDFlag,FailbackDeadband,
"M1_DRIVE_FAULT_STATUS","$System","ACANDDCDRIVEFAULTSTATUS",No,No,0,No,Off,"OK","FAULT",None,1,"ACANDDCDRIVEFAULTSTATUS",0,0,"",""
"M1_W_TD_CAR_NOT_AT_CAST","$System","WESTTUNDISHCARISNOTATANYDEFINEDPOSITION",No,No,0,No,Off,"OFF","ON",None,1,"WESTTUNDISHCARISNOTATANYDEFINEDPOSITION",0,0,"",""
"M1_COMMON1_COM_FLT","$System","COMMON1PLCCOMMUNICATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"COMMON1PLCCOMMUNICATIONFAULTSUMMATIONBIT",0,0,"",""
"M1_ALARM_HIST_PG_UP","$System","ALARMHISTORYPAGEUPFLAG",No,No,0,No,Off,"OFF","ON",None,1,"ALARMHISTORYPAGEUPFLAG",0,0,"",""
"M1_ALARM_HIST_PG_DN","$System","ALARMHISTORYPAGEDOWNFLAG",No,No,0,No,Off,"OFF","ON",None,1,"ALARMHISTORYPAGEDOWNFLAG",0,0,"",""
"M1_METRIC_UNIT","$System","UNIT INDICATOR (1=METRIC, 0=ENGLISH)",No,No,0,No,Off,"ENGLISH","METRIC",None,1,"UNIT INDICATOR (1=METRIC, 0=ENGLISH)",0,0,"",""
"M1_P1_ALM_POP","$System","POP_UP_THE_PRIORITY_1_ALARMS_OR_NOT",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"POP_UP_THE_PRIORITY_1_ALARMS_OR_NOT",0,0,"",""
"M1_IN_ALARM_LIST","$System","IN ALARM LIST FLAG (1=IN ALARM,  0=HISTORY)",No,No,0,No,On,"HISTORY","INALARM",None,1,"IN ALARM LIST FLAG (1=IN ALARM,  0=HISTORY)",0,0,"",""
"M1_LADLE1_COM_FLT","$System","LADLE1PLCCOMMUNICATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"LADLE1PLCCOMMUNICATIONFAULTSUMMATIONBIT",0,0,"",""
"M1_NO_LOGO","$System","INDICATESWHETHERTHELOGOSCREENISBEINGDISPLAY",No,No,0,No,Off,"LOGOISOFF","LOGOISON",None,1,"INDICATESWHETHERTHELOGOSCREENISBEINGDISPLAY",0,0,"",""
"M1_PUSHERS_NOT_AT_HOME","$System","PUSHERSARENOTDOINGANYTHINGANDARENOTATHOME",No,No,0,No,Off,"","NOTATHOME",None,1,"PUSHERSARENOTDOINGANYTHINGANDARENOTATHOME",0,0,"",""
"M1_MW_PUMP_STATUS","$System","MOLDWATERPUMPSSTATUSSUMMATION",No,No,0,No,Off,"OK","NOTOK",None,1,"MOLDWATERPUMPSSTATUSSUMMATION",0,0,"",""
"M1_Z_XA#_82000","$System","ALARM9999:LADLE_PLC_>_MMI_COMM_FAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:LADLE_PLC_>_MMI_COMM_FAULT",0,0,"",""
"M1_Z_XA#_82004","$System","ALARM9999:TORCH_1_OR_TORCH_2_PLC_>MMI_COMM_FAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:TORCH_1_OR_TORCH_2_PLC_>MMI_COMM_FAULT",0,0,"",""
"M1_TORCH1_COM_FLT","$System","TORCH1PLCCOMMUNICATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"TORCH1PLCCOMMUNICATIONFAULTSUMMATIONBIT",0,0,"",""
"M2_PUSHERS_NOT_AT_HOME","$System","PUSHERS_ARE_NOT_DOING_ANYTHING_AND_ARE_NOT_AT_HOME",No,No,0,No,Off,"","NOTATHOME",None,1,"PUSHERS_ARE_NOT_DOING_ANYTHING_AND_ARE_NOT_AT_HOME",0,0,"",""
"SG_HYD_CIRC_PUMP","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"SG_HYD_","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"WS_ALL_BUTTONS_INVISIBLE","$System","DISPLAY BUTTONS ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY BUTTONS ON SWS PUMP PAGE",0,0,"",""
"AT_CAST","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
"TEST1","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
"M1_COMMON_COM_FLT","$System","COMMONPLCCOMMUNICATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"COMMONPLCCOMMUNICATIONFAULTSUMMATIONBIT",0,0,"",""
"M1_XA#_82001","$System","ALARM9999:COMMONPLC>MMICOMMFAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:COMMONPLC>MMICOMMFAULT",0,0,"",""
"M1_ALARM_SUMMARY","$System","ALARM SUMMARY DISPLAY FLAG (1=SYUMMARY, 0=HISTORY)",No,No,0,No,Off,"HISTORY","SUMMARY",None,1,"ALARM SUMMARY DISPLAY FLAG (1=SYUMMARY, 0=HISTORY)",0,0,"",""
"M1_WATER1_COM_FAULT","$System","WATER1PLCCOMMUNICATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"WATER1PLCCOMMUNICATIONFAULTSUMMATIONBIT",0,0,"",""
"S1_AO_Runout_Inlet_PSI","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"Update_Setpoints","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"S2_WT_TABLE_OFF","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"WS_PROMPT_YES_VISIBLE","$System","YES BUTTON ON SWS PUMP PROMPT PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"YES BUTTON ON SWS PUMP PROMPT PAGE",0,0,"",""
"Blink","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
"WS_S2_SWP2_FAIL","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
"WS_AUTO_SWITCH_BUTTON_VISIBLE","$System","DISPLAY A.S. BUTTON ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY A.S. BUTTON ON SWS PUMP PAGE",0,0,"",""
"WS_PRI_SELECT_BUTTON_VISIBLE","$System","DISPLAY PRI SELECT BUTTON ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY PRI SELECT BUTTON ON SWS PUMP PAGE",0,0,"",""
"WS_PRI_START_BUTTON_VISIBLE","$System","DISPLAY PRI START BUTTON ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY PRI START BUTTON ON SWS PUMP PAGE",0,0,"",""
"WS_SBY_START_BUTTON_VISIBLE","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
"WS_PUMP2_BUTTON_VISIBLE","$System","P2 STOP\START BUTTON ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"P2 STOP\START BUTTON ON SWS PUMP PAGE",0,0,"",""
"WS_PUMP1_BUTTON_VISIBLE","$System","P1 STOP\START BUTTON ON SWS PUMP PAGE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"P1 STOP\START BUTTON ON SWS PUMP PAGE",0,0,"",""
"WS_S2_SWP1_FAIL","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"",0,0,"",""
