:mode=ask
:IOAccess,Application,Topic,AdviseActive,DDEProtocol,SecApplication,SecTopic,SecAdviseActive,SecDDEProtocol,FailoverExpression,FailoverDeadband,DFOFlag,FBDFlag,FailbackDeadband,
"Z_TAH_09000","$System","ALARM0014: STR1_MCW HEADER HIGH TEMP",No,No,0,No,Off,"OK","HIGH",On,2,Direct,"COMMON",No,"AL14",Yes,"ALARM0014: STR1_MCW HEADER HIGH TEMP",0,0,"",""
"Z_TXA_09000","$System","ALARM0015:STR1_MCWHEADERTXFAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL15",Yes,"ALARM0015:STR1_MCWHEADERTXFAULT",0,0,"",""
"A_SEL_63012","$System","OSCILLATOR-SELECTSTROKE=8.8mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_88",No,"OSCILLATOR-SELECTSTROKE=8.8mm",0,0,"",""
"A_SEL_63003","$System","OSCILLATOR-SELECTSTROKE=3.0mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_30",No,"OSCILLATOR-SELECTSTROKE=3.0mm",0,0,"",""
"Z_WCA_50120","$System","ALARM0020:LADLEWEIGHSYSTEMFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"COMMON",No,"AL20",Yes,"ALARM0020:LADLEWEIGHSYSTEMFAILURE",0,0,"",""
"Z_WC#_50220","$System","ALARM0021:T/DWEIGHSYSTEMFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"COMMON",No,"AL21",Yes,"ALARM0021:T/DWEIGHSYSTEMFAILURE",0,0,"",""
"Z_LAH_50275","$System","ALARM0022:T/DLEVELHIGH",No,No,0,No,Off,"OK","HIGH",On,2,Direct,"COMMON",No,"AL22",Yes,"ALARM0022:T/DLEVELHIGH",0,0,"",""
"Z_LAL_50277","$System","ALARM0023:T/DLEVELLOW-LOW",No,No,0,No,Off,"OK","LOW-LOW",On,2,Direct,"COMMON",No,"AL23",Yes,"ALARM0023:T/DLEVELLOW-LOW",0,0,"",""
"A_PLC_68002","$System","TORCH-NOTCUTTING",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"S1_HMI_Torch_NtCuttng",No,"TORCH-NOTCUTTING",0,0,"",""
"Z_LC#_53080","$System","ALARM0026:COMMON_PLC_HARDWARE_FAILURE",No,No,0,No,Off,"OK","FAILED",On,1,Direct,"COMMON",No,"AL26",Yes,"ALARM0026:COMMON_PLC_HARDWARE_FAILURE",0,0,"",""
"OS15_Auto","$System","",No,No,0,No,Off," "," ",None,1,Direct,"STRAND1",Yes,"OS15_Auto",No,"Strand 1 Torch Approach Man Switch",0,0,"",""
"WT_At_Home_Light","$System","",No,No,0,No,Off," "," ",None,1,Direct,"STRAND1",Yes,"WT_At_Home_Light",No,"Strand 1 Torch Approach Man Switch",0,0,"",""
"Z_LS#_31202","$System","ALARM0033:PUSHER HYDRAULIC LOW-LOW LEVEL",No,No,0,No,Off,"OK","LOW-LOW",On,1,Direct,"COMMON",No,"AL33",Yes,"ALARM0033:PUSHER HYDRAULIC LOW-LOW LEVEL",0,0,"",""
"Z_FLT_64010","$System","ALARM0034:STR1__SPRAYCHAMBEREXHFAN#1(N)FAULTED",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL34",Yes,"ALARM0034:STR1__SPRAYCHAMBEREXHFAN#1(N)FAULTED",0,0,"",""
"Z_FLT_64020","$System","ALARM0035:STR1__SPRAYCHAMBEREXHFAN#2(S)FAULTED",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL35",Yes,"ALARM0035:STR1__SPRAYCHAMBEREXHFAN#2(S)FAULTED",0,0,"",""
"Z_PAL_23000","$System","ALARM0037:MAINHYDSYSTEMLOWPRESSURE",No,No,0,No,Off,"OK","LOW",On,2,Direct,"COMMON",No,"AL37",Yes,"ALARM0037:MAINHYDSYSTEMLOWPRESSURE",0,0,"",""
"C1_MN_HYD_SYS_LL_LVL","$System","ALARM0038:MAIN_HYD_SYSTEM_LOW-LOW_LEVEL",No,No,0,No,Off,"OK","LOW-LOW",On,1,Direct,"COMMON",No,"AL38",Yes,"ALARM0038:MAIN_HYD_SYSTEM_LOW-LOW_LEVEL",0,0,"",""
"Z_AB#_30010","$System","ALARM0040:TURRET_GREASE_SYSTEM1_FAULT",No,No,0,No,Off,"OK","FAULTED",On,1,Direct,"COMMON",No,"AL40",Yes,"ALARM0040:TURRET_GREASE_SYSTEM1_FAULT",0,0,"",""
"Z_INT_06000","$System","ALARM0041:STR1__EMERGENCY_MOLDWATER_ON",No,No,0,No,Off,"OFF","ON",On,1,Direct,"COMMON",No,"AL41",Yes,"ALARM0041:STR1__EMERGENCY_MOLDWATER_ON",0,0,"",""
"Z_LS#_31201","$System","ALARM0042:PUSHERHYD.SYSTEMTANK-LOWLEVEL",No,No,0,No,Off,"OK","LOW",On,2,Direct,"COMMON",No,"AL42",Yes,"ALARM0042:PUSHERHYD.SYSTEMTANK-LOWLEVEL",0,0,"",""
"Z_INT_16001","$System","ALARM0045:MW_EMERGENCY_TANK_NOT_FULL",No,No,0,No,Off,"OK","NOTFULL",On,1,Direct,"COMMON",No,"AL45",Yes,"ALARM0045:MW_EMERGENCY_TANK_NOT_FULL",0,0,"",""
"Z_INT_07000","$System","ALARM0046:STR1__EMERGENCY_S.W./M.C.W._ON",No,No,0,No,Off,"OFF","ON",On,1,Direct,"COMMON",No,"AL46",Yes,"ALARM0046:STR1__EMERGENCY_S.W./M.C.W._ON",0,0,"",""
"Z_INT_15001","$System","ALARM0047:STR1_EMERGENCY_S.W./M.C.W._NOT_FULL",No,No,0,No,Off,"OK","NOTFULL",On,1,Direct,"COMMON",No,"AL47",Yes,"ALARM0047:STR1_EMERGENCY_S.W./M.C.W._NOT_FULL",0,0,"",""
"S2_wt_tare","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND2",No,"HMI_S2_WtTbl_Tare",No,"",0,0,"",""
"Z_XA#_82005","$System","ALARM0049:COMMONBACKUP-MMICOMMFAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL49",No,"ALARM0049:COMMONBACKUP-MMICOMMFAULT",0,0,"",""
"CO_READ_W1_COM_FLT","$System","ALARM0052:COMMON_WATER1_COMM_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL52",Yes,"ALARM0052:COMMON_WATER1_COMM_FAULT",0,0,"",""
"CO_READ_NA_COM_FLT","$System","ALARM0053:COMMON_NARCO_COMM_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"COMMON",No,"AL53",Yes,"ALARM0053:COMMON_NARCO_COMM_FAULT",0,0,"",""
"Z_PB#_61002","$System","ALARM0054:LADLETURRETE-STOP(OS-4A)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL54",Yes,"ALARM0054:LADLETURRETE-STOP(OS-4A)",0,0,"",""
"A_PB#_61011","$System","ALARM0055:LADLETURRETE-STOP(OS-5)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL55",No,"ALARM0055:LADLETURRETE-STOP(OS-5)",0,0,"",""
"J_PB#_62016","$System","ALARM0056:EASTTUNDISHE-STOP(OS-6)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL56",Yes,"ALARM0056:EASTTUNDISHE-STOP(OS-6)",0,0,"",""
"J_PB#_62035","$System","ALARM0057:EASTTUNDISHE-STOP(OS-7)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL57",Yes,"ALARM0057:EASTTUNDISHE-STOP(OS-7)",0,0,"",""
"K_PB#_62027","$System","ALARM0058:WESTTUNDISHE-STOP(OS-6)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL58",Yes,"ALARM0058:WESTTUNDISHE-STOP(OS-6)",0,0,"",""
"K_PB#_62043","$System","ALARM0059:WESTTUNDISHE-STOP(OS-8)",No,No,0,No,Off,"OK","E-STOP",On,1,Direct,"COMMON",No,"AL59",Yes,"ALARM0059:WESTTUNDISHE-STOP(OS-8)",0,0,"",""
"S2_ANNUNCIATOR_OS1_MAIN_HYD","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND2",No,"S2_HMI_MainHyd_LoPsi",No,"",0,0,"",""
"S2_ANNUNCIATOR_OS1_ML_CONTROL","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND2",No,"S2_HMI_MoldLvl_Cntrl_Fault",No,"",0,0,"",""
"NEW_HEAT_DATA_FORCE","$System","FORCE_LADLE_OPEN_BIT_FOR_NEW_HEAT_DATA",No,No,0,No,Off,"NORMAL","HEATFORCED",On,3,Direct,"COMMON",No,"HMI_ForceLD_Open_HeatData",No,"FORCE_LADLE_OPEN_BIT_FOR_NEW_HEAT_DATA",0,0,"",""
"C1_RACK_01_FLT","$System","ALARM0064:COMMON1PLCRACK01FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL64",Yes,"ALARM0064:COMMON1PLCRACK01FAULTED",0,0,"",""
"C1_RACK_02_FLT","$System","ALARM0065:COMMON1PLCRACK02FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL65",Yes,"ALARM0065:COMMON1PLCRACK02FAULTED",0,0,"",""
"C1_RACK_03_FLT","$System","ALARM0066:COMMON1PLCRACK03FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL66",Yes,"ALARM0066:COMMON1PLCRACK03FAULTED",0,0,"",""
"C1_RACK_05_FLT","$System","ALARM0068:COMMON1PLCRACK05FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL68",Yes,"ALARM0068:COMMON1PLCRACK05FAULTED",0,0,"",""
"C1_RACK_06_FLT","$System","ALARM0069:COMMON1PLCRACK06FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL69",Yes,"ALARM0069:COMMON1PLCRACK06FAULTED",0,0,"",""
"C1_RACK_07_FLT","$System","ALARM0070:COMMON1PLCRACK07FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"COMMON",No,"AL70",Yes,"ALARM0070:COMMON1PLCRACK07FAULTED",0,0,"",""
"A_FLT_63204","$System","S1_ALARM_0200_MOLD_OSCILLATOR_DRIVE_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL200",Yes,"S1_ALARM_0200_MOLD_OSCILLATOR_DRIVE_FAULT",0,0,"",""
"A_FLT_65204","$System","S1_ALARM_0201_W/S_DRIVE_#1_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL201",Yes,"S1_ALARM_0201_W/S_DRIVE_#1_FAULT",0,0,"",""
"A_FLT_65224","$System","S1_ALARM_0202_W/S_DRIVE_#2_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL202",Yes,"S1_ALARM_0202_W/S_DRIVE_#2_FAULT",0,0,"",""
"A_FLT_65231","$System","S1_ALARM_0203_W/S_DRIVE_#3_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL203",Yes,"S1_ALARM_0203_W/S_DRIVE_#3_FAULT",0,0,"",""
"A_FLT_65238","$System","S1_ALARM_0204_W/S_DRIVE_#4_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL204",Yes,"S1_ALARM_0204_W/S_DRIVE_#4_FAULT",0,0,"",""
"A_FLT_65245","$System","S1_ALARM_0205_W/S_DRIVE_#5_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL205",Yes,"S1_ALARM_0205_W/S_DRIVE_#5_FAULT",0,0,"",""
"A_FLT_67104","$System","S1_ALARM_0206_TORCH_APPROACH_DRIVE_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL206",Yes,"S1_ALARM_0206_TORCH_APPROACH_DRIVE_FAULT",0,0,"",""
"A_FLT_67204","$System","S1_ALARM_0207_TORCH_SHIFT_TABLE_DRIVE_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL207",Yes,"S1_ALARM_0207_TORCH_SHIFT_TABLE_DRIVE_FAULT",0,0,"",""
"Z_XA#_82006","$System","ALARM0208:STRAND1BACKUP-MMICOMMFAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL208",No,"ALARM0208:STRAND1BACKUP-MMICOMMFAULT",0,0,"",""
"S1_READ_CO_COM_FLT","$System","ALARM0210:STRAND1_COMMON_COMM_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL210",Yes,"ALARM0210:STRAND1_COMMON_COMM_FAULT",0,0,"",""
"S1_READ_W1_COM_FLT","$System","ALARM0211:STRAND1_WATER1_COMM_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL211",Yes,"ALARM0211:STRAND1_WATER1_COMM_FAULT",0,0,"",""
"S1_READ_T1_COM_FLT","$System","ALARM0212:STRAND1_TORCH1_COMM_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL212",Yes,"ALARM0212:STRAND1_TORCH1_COMM_FAULT",0,0,"",""
"A_LA#_53032","$System","ALARM0215:M/LAUTOFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL215",Yes,"ALARM0215:M/LAUTOFAILURE",0,0,"",""
"A_LA#_53035","$System","ALARM0216:M/LFAULT",No,No,0,No,Off,"OK","FAULTED",On,1,Direct,"STRAND1",No,"AL216",Yes,"ALARM0216:M/LFAULT",0,0,"",""
"A_LTA_53071","$System","ALARM0217:STR1_M/LSENSORBLOCKTEMPHIGH",No,No,0,No,Off,"OK","HIGH",On,2,Direct,"STRAND1",No,"AL217",Yes,"ALARM0217:STR1_M/LSENSORBLOCKTEMPHIGH",0,0,"",""
"A_LTA_53072","$System","ALARM0218:STR1_SENSORBLOCKFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL218",Yes,"ALARM0218:STR1_SENSORBLOCKFAILURE",0,0,"",""
"S1_LAH_53073","$System","ALARM0219:STR1 M/L HIGH HIGH",No,No,0,No,Off,"OK","HIGHHIGH",On,1,Direct,"STRAND1",No,"AL219",Yes,"ALARM0219:STR1 M/L HIGH HIGH",0,0,"",""
"A_LTA_53073","$System","ALARM0220:STR1_M/LHEATERFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL220",Yes,"ALARM0220:STR1_M/LHEATERFAILURE",0,0,"",""
"A_LTA_53074","$System","ALARM0221:STR1_POWERSUPPLYFAILURE",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL221",Yes,"ALARM0221:STR1_POWERSUPPLYFAILURE",0,0,"",""
"A_EFA_53079","$System","S1_ALARM_0222_M/L_SENSOR_FAULT",No,No,0,No,Off,"OK","FAULTED",On,2,Direct,"STRAND1",No,"AL222",Yes,"S1_ALARM_0222_M/L_SENSOR_FAULT",0,0,"",""
"S1_LAL_53071","$System","ALARM0223:STRAND 1 M/L LOW LOW",No,No,0,No,Off,"OK","LOWLOW",On,1,Direct,"STRAND1",No,"AL223",Yes,"ALARM0223:STRAND 1 M/L LOW LOW",0,0,"",""
"HMI_NOZ_Hyd_Pump_Stop","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"Narco",Yes,"HMI_NOZ_Hyd_Pump_Stop",No,"GREASESYSTEM6PUMPRESET",0,0,"",""
"HMI_NOZ_Hyd_Pump_Start","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"Narco",Yes,"HMI_NOZ_Hyd_Pump_Start",No,"GREASESYSTEM6PUMPRESET",0,0,"",""
"Nozzle_HYD_Heater_Coil","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"Narco",Yes,"Nozzle_HYD_Heater_Coil",No,"GREASESYSTEM6PUMPRESET",0,0,"",""
"SG_HYD_STANDBY_PUMP_RUNNING","Narco","SlideGate_Hydraulic_Standby_Pump_Running",No,No,0,No,Off,"","",On,1,Direct,"Narco",No,"NA_HMI_SG_Standby_Pump_Run_Alm",Yes,"SlideGate_Hydraulic_Standby_Pump_Running",0,0,"",""
"Pump2_Ready","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"Narco",Yes,"Pump2_Ready",No,"GREASESYSTEM6PUMPRESET",0,0,"",""
"A_SEL_63004","$System","OSCILLATOR-SELECTSTROKE=3.8mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_38",No,"OSCILLATOR-SELECTSTROKE=3.8mm",0,0,"",""
"A_SEL_63005","$System","OSCILLATOR-SELECTSTROKE=4.5mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_45",No,"OSCILLATOR-SELECTSTROKE=4.5mm",0,0,"",""
"A_SEL_63006","$System","OSCILLATOR-SELECTSTROKE=5.2mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_52",No,"OSCILLATOR-SELECTSTROKE=5.2mm",0,0,"",""
"A_SEL_63007","$System","OSCILLATOR-SELECTSTROKE=5.8mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_58",No,"OSCILLATOR-SELECTSTROKE=5.8mm",0,0,"",""
"A_SEL_63008","$System","OSCILLATOR-SELECTSTROKE=6.5mm",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND1",No,"Osc_Sel_65",No,"OSCILLATOR-SELECTSTROKE=6.5mm",0,0,"",""
"A_AB#_63001","$System","S1_ALARM_0248_OSCILLATOR_ALARM",No,No,0,No,Off,"OK","ON",On,2,Direct,"STRAND1",No,"AL248",Yes,"S1_ALARM_0248_OSCILLATOR_ALARM",0,0,"",""
"A_FLT_69101","$System","S1_ALARM_0250_ROT_SECTION_1_M1_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL250",Yes,"S1_ALARM_0250_ROT_SECTION_1_M1_FAULT",0,0,"",""
"A_FLT_69102","$System","S1_ALARM_0251_ROT_SECTION_I_M2_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL251",Yes,"S1_ALARM_0251_ROT_SECTION_I_M2_FAULT",0,0,"",""
"A_FLT_69103","$System","S1_ALARM_0252_ROT_SECTION_I_M3_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL252",Yes,"S1_ALARM_0252_ROT_SECTION_I_M3_FAULT",0,0,"",""
"A_FLT_69104","$System","S1_ALARM_0253_ROT_SECTION_I_M4_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL253",Yes,"S1_ALARM_0253_ROT_SECTION_I_M4_FAULT",0,0,"",""
"A_FLT_69105","$System","S1_ALARM_0254_ROT_SECTION_I_M5_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL254",Yes,"S1_ALARM_0254_ROT_SECTION_I_M5_FAULT",0,0,"",""
"A_FLT_69106","$System","S1_ALARM_0255_ROT_SECTION_I_M6_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL255",Yes,"S1_ALARM_0255_ROT_SECTION_I_M6_FAULT",0,0,"",""
"A_FLT_69107","$System","S1_ALARM_0256_ROT_SECTION_I_M6_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL256",Yes,"S1_ALARM_0256_ROT_SECTION_I_M6_FAULT",0,0,"",""
"A_FLT_69108","$System","S1_ALARM_0257_ROT_SECTION_I_M8_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL257",Yes,"S1_ALARM_0257_ROT_SECTION_I_M8_FAULT",0,0,"",""
"A_FLT_69109","$System","S1_ALARM_0258_ROT_SECTION_I_M9_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL258",Yes,"S1_ALARM_0258_ROT_SECTION_I_M9_FAULT",0,0,"",""
"A_FLT_69201","$System","S1_ALARM_0259_ROT_SECTION_2_M1_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL259",Yes,"S1_ALARM_0259_ROT_SECTION_2_M1_FAULT",0,0,"",""
"A_FLT_69202","$System","S1_ALARM_0260_ROT_SECTION_2_M2_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL260",Yes,"S1_ALARM_0260_ROT_SECTION_2_M2_FAULT",0,0,"",""
"A_FLT_69203","$System","S1_ALARM_0261_ROT_SECTION_2_M3_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL261",Yes,"S1_ALARM_0261_ROT_SECTION_2_M3_FAULT",0,0,"",""
"A_FLT_69204","$System","S1_ALARM_0262_ROT_SECTION_2_M4_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL262",Yes,"S1_ALARM_0262_ROT_SECTION_2_M4_FAULT",0,0,"",""
"A_FLT_69205","$System","S1_ALARM_0263_ROT_SECTION_2_M5_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL263",Yes,"S1_ALARM_0263_ROT_SECTION_2_M5_FAULT",0,0,"",""
"A_FLT_69206","$System","S1_ALARM_0264_ROT_SECTION_2_M6_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL264",Yes,"S1_ALARM_0264_ROT_SECTION_2_M6_FAULT",0,0,"",""
"A_FLT_69207","$System","S1_ALARM_0265_ROT_SECTION_2_M7_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL265",Yes,"S1_ALARM_0265_ROT_SECTION_2_M7_FAULT",0,0,"",""
"A_FLT_69208","$System","S1_ALARM_0266_ROT_SECTION_2_M8_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL266",Yes,"S1_ALARM_0266_ROT_SECTION_2_M8_FAULT",0,0,"",""
"A_FLT_69301","$System","S1_ALARM_0267_DUMMY_BAR_STORAGE_M1_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL267",Yes,"S1_ALARM_0267_DUMMY_BAR_STORAGE_M1_FAULT",0,0,"",""
"A_FLT_69302","$System","S1_ALARM_0268_DUMMY_BAR_STORAGE_M2_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL268",Yes,"S1_ALARM_0268_DUMMY_BAR_STORAGE_M2_FAULT",0,0,"",""
"A_FLT_69303","$System","S1_ALARM_0269_DUMMY_BAR_STORAGE_M3_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL269",Yes,"S1_ALARM_0269_DUMMY_BAR_STORAGE_M3_FAULT",0,0,"",""
"A_FLT_69304","$System","S1_ALARM_0270_DUMMY_BAR_STORAGE_M4_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL270",Yes,"S1_ALARM_0270_DUMMY_BAR_STORAGE_M4_FAULT",0,0,"",""
"A_FLT_69305","$System","S1_ALARM_0271_DUMMY_BAR_STORAGE_M5_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL271",Yes,"S1_ALARM_0271_DUMMY_BAR_STORAGE_M5_FAULT",0,0,"",""
"A_FLT_69306","$System","S1_ALARM_0272_DUMMY_BAR_STORAGE_M6_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL272",Yes,"S1_ALARM_0272_DUMMY_BAR_STORAGE_M6_FAULT",0,0,"",""
"A_FLT_69307","$System","S1_ALARM_0273_DUMMY_BAR_STORAGE_M7_FAULT",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL273",Yes,"S1_ALARM_0273_DUMMY_BAR_STORAGE_M7_FAULT",0,0,"",""
"A_GFT_69011","$System","S1_ALARM_0245_ROT_SECTION_I_TABLE_1_GROUP_FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL245",Yes,"S1_ALARM_0245_ROT_SECTION_I_TABLE_1_GROUP_FAULTED",0,0,"",""
"A_GFT_69012","$System","S1_ALARM_0246_ROT_SECTION_I_TABLE_2_GROUP_FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL246",Yes,"S1_ALARM_0246_ROT_SECTION_I_TABLE_2_GROUP_FAULTED",0,0,"",""
"A_GFT_69020","$System","S1_ALARM_0247_ROT_SECTION_2_GROUP_FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL247",Yes,"S1_ALARM_0247_ROT_SECTION_2_GROUP_FAULTED",0,0,"",""
"A_GFT_69030","$System","S1_ALARM_0244_DUMMY_BAR_STORAGE_GROUP_FAULTED",No,No,0,No,Off,"OK","FAULTED",On,3,Direct,"STRAND1",No,"AL244",Yes,"S1_ALARM_0244_DUMMY_BAR_STORAGE_GROUP_FAULTED",0,0,"",""
"A_PAL_44000","$System","ALARM0279:STR1_MLCSAIRPURGE",No,No,0,No,Off,"OK","PURGE",On,3,Direct,"STRAND1",No,"AL279",Yes,"ALARM0279:STR1_MLCSAIRPURGE",0,0,"",""
"A_PDA_23010","$System","ALARM0280:STR1_ROLL1SETPOINTDEVIATIONALARM",No,No,0,No,Off,"OK","DEVIATED",On,2,Direct,"STRAND1",No,"AL280",Yes,"ALARM0280:STR1_ROLL1SETPOINTDEVIATIONALARM",0,0,"",""
"A_PDA_23020","$System","ALARM0281:STR1_ROLL2SETPOINTDEVIATIONALARM",No,No,0,No,Off,"OK","DEVIATED",On,2,Direct,"STRAND1",No,"AL281",Yes,"ALARM0281:STR1_ROLL2SETPOINTDEVIATIONALARM",0,0,"",""
"A_PDA_23030","$System","ALARM0282:STR1_ROLL3SETPOINTDEVIATIONALARM",No,No,0,No,Off,"OK","DEVIATED",On,2,Direct,"STRAND1",No,"AL282",Yes,"ALARM0282:STR1_ROLL3SETPOINTDEVIATIONALARM",0,0,"",""
"A_PDA_23040","$System","ALARM0283:STR1_ROLL4SETPOINTDEVIATIONALARM",No,No,0,No,Off,"OK","DEVIATED",On,2,Direct,"STRAND1",No,"AL283",Yes,"ALARM0283:STR1_ROLL4SETPOINTDEVIATIONALARM",0,0,"",""
"A_PDA_23050","$System","ALARM0284:STR1_ROLL5SETPOINTDEVIATIONALARM",No,No,0,No,Off,"OK","DEVIATED",On,2,Direct,"STRAND1",No,"AL284",Yes,"ALARM0284:STR1_ROLL5SETPOINTDEVIATIONALARM",0,0,"",""
"A_PXA_23010","$System","ALARM0285:STR1_ROLLPRESSUREXMTFAILUREROLL1",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL285",Yes,"ALARM0285:STR1_ROLLPRESSUREXMTFAILUREROLL1",0,0,"",""
"A_PXA_23020","$System","ALARM0287:STR1_ROLLPRESSUREXMTFAILUREROLL2",No,No,0,No,Off,"OK","FAILED",On,2,Direct,"STRAND1",No,"AL287",Yes,"ALARM0287:STR1_ROLLPRESSUREXMTFAILUREROLL2",0,0,"",""
